rank,group_or_event_key,score_ns,member_count,source_member_ids_json
669,0:1955329:1955331,935175,1,"[""0:1955329:1955331""]"
670,0:8741:8743,934285,1,"[""0:8741:8743""]"
671,1:1442136:1442138,928935,1,"[""1:1442136:1442138""]"
672,1:2051018:2051020,927765,1,"[""1:2051018:2051020""]"
673,1:1060258:1060260,927165,1,"[""1:1060258:1060260""]"
674,0:2304987:2304989,926775,1,"[""0:2304987:2304989""]"
675,0:2372001:2372003,925236,1,"[""0:2372001:2372003""]"
676,0:2119359:2119361,921125,1,"[""0:2119359:2119361""]"
677,0:1868653:1868655,921115,1,"[""0:1868653:1868655""]"
678,1:2117500:2117502,919175,1,"[""1:2117500:2117502""]"
679,0:305929:305931,909376,1,"[""0:305929:305931""]"
680,1:434996:434998,908746,1,"[""1:434996:434998""]"
681,0:1060257:1060259,905586,1,"[""0:1060257:1060259""]"
682,1:915894:915896,905525,1,"[""1:915894:915896""]"
683,1:1585016:1585018,904405,1,"[""1:1585016:1585018""]"
684,1:510004:510006,890585,1,"[""1:510004:510006""]"
685,1:1955328:1955330,890565,1,"[""1:1955328:1955330""]"
686,1:107882:107884,889585,1,"[""1:107882:107884""]"
687,1:370396:370398,887855,1,"[""1:370396:370398""]"
688,1:1039062:1039064,887815,1,"[""1:1039062:1039064""]"
689,0:2117499:2117501,887475,1,"[""0:2117499:2117501""]"
690,1:369106:369108,885595,1,"[""1:369106:369108""]"
691,1:421024:421026,884755,1,"[""1:421024:421026""]"
692,0:2483879:2483881,884634,1,"[""0:2483879:2483881""]"
