rank,group_or_event_key,score_ns,member_count,source_member_ids_json
10274,6ac376c56eedf752a9a3a7191e7ddd301b101eb792eb43bdd7643e7f403494e7,405600,1,"[""6ac376c56eedf752a9a3a7191e7ddd301b101eb792eb43bdd7643e7f403494e7""]"
10275,88935cf736c3248a26ac7cebaca1ffe937d2060d3dbecc0eedddecac32fb809d,405600,1,"[""88935cf736c3248a26ac7cebaca1ffe937d2060d3dbecc0eedddecac32fb809d""]"
10276,324424136bcea1d12c3ae7330b6a3e07a54dd698d1b547e9f2ac85308bc739cc,405440,1,"[""324424136bcea1d12c3ae7330b6a3e07a54dd698d1b547e9f2ac85308bc739cc""]"
10277,8a92666ece0aa95a672eb8b66c0e740947dc631bfcca2e235dc0142dd221c958,405440,1,"[""8a92666ece0aa95a672eb8b66c0e740947dc631bfcca2e235dc0142dd221c958""]"
10278,e588a9ab378e77dcea397693de8f65b216154f48fde1b4f781b820f838a1b9a5,405440,1,"[""e588a9ab378e77dcea397693de8f65b216154f48fde1b4f781b820f838a1b9a5""]"
10279,577b5ff341e60b3a087be54e399b7362c04599d9d1bc1010ae96d45da0b4b022,405280,1,"[""577b5ff341e60b3a087be54e399b7362c04599d9d1bc1010ae96d45da0b4b022""]"
10280,1121de52cee731229f40d31e97f31dba8a27fc75f9c6e9cbd632e0187bac0410,405120,1,"[""1121de52cee731229f40d31e97f31dba8a27fc75f9c6e9cbd632e0187bac0410""]"
10281,16c52522c8537fc0b39ee473b231436e98fddccd0f54bd6a8401f288a6ecc72e,405120,1,"[""16c52522c8537fc0b39ee473b231436e98fddccd0f54bd6a8401f288a6ecc72e""]"
10282,8d2ee0acfd0672f0ebdc631c842dbe2e03b38811f60c4d93b23ffc82824c4f5d,405120,1,"[""8d2ee0acfd0672f0ebdc631c842dbe2e03b38811f60c4d93b23ffc82824c4f5d""]"
10283,8fec53e6da7969792cfaaa45745f0c7359d2171fb9eb7278d6f869fadb9c695a,405120,1,"[""8fec53e6da7969792cfaaa45745f0c7359d2171fb9eb7278d6f869fadb9c695a""]"
10284,a1dddebdb3e3359e341befe1560c9cac0bf268e215c8b17dd5d6325b61bb1bcf,405120,1,"[""a1dddebdb3e3359e341befe1560c9cac0bf268e215c8b17dd5d6325b61bb1bcf""]"
10285,fcec12d5ce30d945640347770d15d3d5653c6ee13b3c5c3b0f6c87f9e4a4f44a,405120,1,"[""fcec12d5ce30d945640347770d15d3d5653c6ee13b3c5c3b0f6c87f9e4a4f44a""]"
10286,46c121f476d59601d2a641d798de548bfa4f3c86a31af7f4f1510584b6f987b4,404960,1,"[""46c121f476d59601d2a641d798de548bfa4f3c86a31af7f4f1510584b6f987b4""]"
10287,58df749c46deb9286553a1a0095f8d19e7459846bb341e69275624951726c9ac,404960,1,"[""58df749c46deb9286553a1a0095f8d19e7459846bb341e69275624951726c9ac""]"
10288,6832fac31ac65844dd9bb0aea4ce9192241b8d4a5d3654f184909f6dd249c8a6,404960,1,"[""6832fac31ac65844dd9bb0aea4ce9192241b8d4a5d3654f184909f6dd249c8a6""]"
10289,9173aeba8e54f0c26a1c998949319ef659d52954c7b8822800851d65378e93a9,404960,1,"[""9173aeba8e54f0c26a1c998949319ef659d52954c7b8822800851d65378e93a9""]"
10290,317c6efc77ee2613d865d0d7de0290ccefcbc303b2f6f6e71304513cba429b60,404800,1,"[""317c6efc77ee2613d865d0d7de0290ccefcbc303b2f6f6e71304513cba429b60""]"
10291,a6efdb2f3f2480367d593a9fa9cd7c5fa6778dc7c4bbfa36dfce6697e9cf2e5f,404800,1,"[""a6efdb2f3f2480367d593a9fa9cd7c5fa6778dc7c4bbfa36dfce6697e9cf2e5f""]"
10292,d89ced0c555cb8eb54d428166cdf9aa78b0feb7797e188820945d37d8026df5f,404800,1,"[""d89ced0c555cb8eb54d428166cdf9aa78b0feb7797e188820945d37d8026df5f""]"
10293,e162dbcec7942c00a7dbf5af985cdac436897e4d6edaf10e4f8355dadb035697,404800,1,"[""e162dbcec7942c00a7dbf5af985cdac436897e4d6edaf10e4f8355dadb035697""]"
10294,ebda269feaa930df19e38d687f6535e6ed2808186e2cd2d6dd449c63d6933ecb,404799,1,"[""ebda269feaa930df19e38d687f6535e6ed2808186e2cd2d6dd449c63d6933ecb""]"
10295,92901d9e350ba330f28ed94396fc2f5c908e9118b1d7aa91a9f34a533b3ecd7f,404640,1,"[""92901d9e350ba330f28ed94396fc2f5c908e9118b1d7aa91a9f34a533b3ecd7f""]"
10296,a17b9e350e0b485e9b9b4aca19f2c9b435e54e75c51d2025c5b1a3c92cf495ce,404640,1,"[""a17b9e350e0b485e9b9b4aca19f2c9b435e54e75c51d2025c5b1a3c92cf495ce""]"
10297,b38d0f476b53d01cae7f30a12111bf006ef81cc6409b1f11fa9236a7a17ceb21,404640,1,"[""b38d0f476b53d01cae7f30a12111bf006ef81cc6409b1f11fa9236a7a17ceb21""]"
10298,80d5b43ce3199b118c6d424e95d97f5a60d9c4ff290fbc4e1bee1cf1f666b15b,404480,1,"[""80d5b43ce3199b118c6d424e95d97f5a60d9c4ff290fbc4e1bee1cf1f666b15b""]"
10299,9a4e56bf03c4bb1454381b10bf2b040cf76ea2c37d608a857c98b6c6e05bca75,404480,1,"[""9a4e56bf03c4bb1454381b10bf2b040cf76ea2c37d608a857c98b6c6e05bca75""]"
10300,d8e8b038348ac51b613d3439bfdb935183bb8d67c02b0c0fba3022bb49088497,404480,1,"[""d8e8b038348ac51b613d3439bfdb935183bb8d67c02b0c0fba3022bb49088497""]"
10301,126e8a83f2a43930f54fd506b2ae0d5ed3ed840460e89df969ee35e5be78cf85,404320,1,"[""126e8a83f2a43930f54fd506b2ae0d5ed3ed840460e89df969ee35e5be78cf85""]"
10302,42928348b27711c2db57e571298683624771e154de08d12d1331959ef8c3a77d,404320,1,"[""42928348b27711c2db57e571298683624771e154de08d12d1331959ef8c3a77d""]"
10303,9784868df645824a7d02df98d8d9c4ac1274f4b4192f909a17ed50c17b5c93c1,404319,1,"[""9784868df645824a7d02df98d8d9c4ac1274f4b4192f909a17ed50c17b5c93c1""]"
10304,504d029da03d9b40474351c701a9ac51b16864c276c053c3fe3d17aa3ae3349c,404160,1,"[""504d029da03d9b40474351c701a9ac51b16864c276c053c3fe3d17aa3ae3349c""]"
10305,67c23d2f098a1a587f6451aaf288dc3b3bf18190385dc9476d059c2ed5ce049d,404160,1,"[""67c23d2f098a1a587f6451aaf288dc3b3bf18190385dc9476d059c2ed5ce049d""]"
10306,a5e8ac523fa3923421938303df5e35a84127925b29e7f7ac5230f8dd38b8c6e1,404160,1,"[""a5e8ac523fa3923421938303df5e35a84127925b29e7f7ac5230f8dd38b8c6e1""]"
10307,afad196bf7405aed0860bfa780b4e6426939974c3b2001b87a0f07d5fab8ab02,404160,1,"[""afad196bf7405aed0860bfa780b4e6426939974c3b2001b87a0f07d5fab8ab02""]"
10308,01128be75647cf78c2fbd21a7f4c24f631ada7a75a6bd9d482ceaad4e6213d0e,404000,1,"[""01128be75647cf78c2fbd21a7f4c24f631ada7a75a6bd9d482ceaad4e6213d0e""]"
10309,15f38dab0dd6bb7228a9bb84e5ef49400b5fdfc945d7787f6f1070ca58772965,404000,1,"[""15f38dab0dd6bb7228a9bb84e5ef49400b5fdfc945d7787f6f1070ca58772965""]"
10310,1753ee9d72caa6a4dff351e550659b143467ff9d84e2c3fa0a23f9a0eb8d5e64,404000,1,"[""1753ee9d72caa6a4dff351e550659b143467ff9d84e2c3fa0a23f9a0eb8d5e64""]"
10311,56a69181621baa7418874ca2c45da571b102dc246ac6999a28cc2ac923c1bcbc,404000,1,"[""56a69181621baa7418874ca2c45da571b102dc246ac6999a28cc2ac923c1bcbc""]"
10312,9a1837907381bc22698c79181eb2dc08e0635a5b7dc686f0888ae90263c13a0c,404000,1,"[""9a1837907381bc22698c79181eb2dc08e0635a5b7dc686f0888ae90263c13a0c""]"
10313,cc393cca08e4c97fda6bfdb0cb8417d38f0c7471a7c818cfac3795e4faedf95c,404000,1,"[""cc393cca08e4c97fda6bfdb0cb8417d38f0c7471a7c818cfac3795e4faedf95c""]"
10314,20758a3e19af3bc84b5a7598eaa5b4fe4f9e32af9febc31a581d6d9e0a3e0a76,403840,1,"[""20758a3e19af3bc84b5a7598eaa5b4fe4f9e32af9febc31a581d6d9e0a3e0a76""]"
10315,3dc0fc5fd423b81c27f760c1ad41851cacfe03e1fe4a5af759522aa098496c05,403840,1,"[""3dc0fc5fd423b81c27f760c1ad41851cacfe03e1fe4a5af759522aa098496c05""]"
